Alexandre|Concurso1|[1, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 16, 19, 20, 21, 22, 23]|2448.0
Alexandre|Concurso1|[2, 5, 6, 7, 9, 10, 11, 13, 15, 16, 17, 18, 19, 22, 24, 25]|48.0
Alexandre|Concurso1|[1, 2, 3, 5, 6, 8, 9, 12, 16, 17, 18, 21, 22, 24, 25]|3.0
Alexandre|Concurso1|[6, 7, 8, 9, 10, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24]|48.0
Alexandre|Concurso1|[3, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25]|46512.0
Leonardo|Concurso1|[2, 3, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 20, 23, 25]|3.0
Leonardo|Concurso1|[1, 3, 6, 7, 8, 9, 10, 11, 12, 15, 16, 17, 19, 22, 24, 25]|48.0
Leonardo|Concurso1|[2, 4, 5, 7, 9, 11, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23]|48.0
Leonardo|Concurso1|[1, 2, 4, 5, 7, 8, 9, 10, 11, 13, 14, 15, 19, 20, 22, 24, 25]|408.0
Leonardo|Concurso1|[1, 3, 7, 9, 10, 12, 13, 15, 16, 17, 20, 21, 22, 23, 24, 25]|48.0
Alexandre|Concurso5|[1, 3, 4, 5, 8, 10, 11, 13, 14, 15, 16, 17, 18, 19, 23, 24]|48.0
Alexandre|Concurso5|[1, 2, 3, 6, 8, 9, 10, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 24]|2448.0
Alexandre|Concurso5|[1, 2, 5, 6, 9, 13, 15, 16, 17, 18, 19, 21, 22, 24, 25]|3.0
Alexandre|Concurso5|[1, 3, 4, 5, 7, 8, 9, 10, 12, 14, 15, 18, 19, 20, 25]|3.0
Alexandre|Concurso5|[1, 3, 5, 6, 7, 8, 13, 14, 15, 16, 17, 18, 20, 23, 25]|3.0
Leonardo|Concurso5|[1, 2, 4, 5, 6, 8, 11, 12, 14, 15, 19, 20, 21, 22, 23, 24, 25]|408.0
Leonardo|Concurso5|[1, 3, 4, 6, 8, 10, 11, 12, 15, 16, 18, 19, 20, 21, 23, 24]|48.0
Leonardo|Concurso5|[1, 3, 4, 5, 6, 8, 10, 11, 12, 13, 16, 17, 19, 22, 23, 24]|48.0
Leonardo|Concurso5|[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 15, 17, 19, 22, 23, 24, 25]|11628.0
Leonardo|Concurso5|[2, 4, 5, 6, 7, 8, 9, 12, 17, 18, 19, 20, 21, 23, 25]|3.0
Alexandre|Concurso1|[2, 3, 5, 6, 8, 11, 13, 14, 15, 18, 19, 21, 22, 23, 24, 25]|48.0
Alexandre|Concurso1|[3, 4, 5, 6, 8, 11, 12, 13, 14, 15, 17, 18, 21, 23, 24]|3.0
Alexandre|Concurso1|[1, 2, 3, 6, 7, 10, 12, 13, 14, 17, 19, 20, 22, 23, 24, 25]|48.0
Alexandre|Concurso1|[2, 3, 5, 6, 7, 9, 11, 13, 14, 16, 17, 19, 21, 22, 23]|3.0
Alexandre|Concurso1|[3, 4, 5, 6, 8, 9, 11, 12, 13, 14, 17, 19, 20, 21, 23, 24, 25]|408.0
